,Unnamed: 0.1,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,capableCOneThirtyCSeventeen,weatherLink
1637,17,PG,AYXM,Komo Airport,S6.3.80',E142.52.61',-6.05,142.86666666666667, Public,,,,,,,,,No,https://www.getmetar.com/AYXM
1638,18,PG,AYKY,Lihir Kunaye Airport,S3.2.59',E152.37.68',-3.033333333333333,152.61666666666667, Public,3937 x 75feet,Soft,,,,,,,No,https://www.getmetar.com/AYKY
1639,19,PG,AYMD,Madang Airport,S5.12.50',E145.47.26',-5.2,145.78333333333333, Public,5148 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/AYMD
1640,20,PG,AYMN,Mendi Airport,S6.8.77',E143.39.44',-6.133333333333334,143.65, Public,4396 x 98feet,Soft,,,,,,,No,https://www.getmetar.com/AYMN
1641,21,PG,AYMS,Misima Bwagaoia Airport,S10.41.29',E152.50.36',-10.683333333333334,152.83333333333334, Public,,,,,,,,,No,https://www.getmetar.com/AYMS
1642,22,PG,AYMO,Momote Airport,S2.3.60',E147.25.45',-2.05,147.41666666666666, Public,6136 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/AYMO
1643,23,PG,AYMR,Moro Airport,S6.21.71',E143.13.84',-6.35,143.21666666666667, Public,5774 x 98feet,Soft,,,,,,,No,https://www.getmetar.com/AYMR
1644,24,PG,AYMH,Mount Hagen Airport,S5.49.67',E144.17.97',-5.816666666666666,144.28333333333333, Public,6185 x 98feet,Hard,3599 x 59feet,Unknown,,,,,Yes,https://www.getmetar.com/AYMH
1645,25,PG,AYNZ,Nadzab Airport,S6.34.15',E146.43.68',-6.566666666666666,146.71666666666667, Public,7999 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/AYNZ
1646,26,PG,AYPY,Port Moresby Airport,S9.26.42',E147.13.12',-9.433333333333334,147.21666666666667, Public,9022 x 148feet,Hard,6798 x 148feet,Unknown,,,,,Yes,https://www.getmetar.com/AYPY
1647,27,PG,YSII,Saibai Island Airport,S9.22.70',E142.37.50',-9.366666666666667,142.61666666666667, Public,,,,,,,,,No,https://www.getmetar.com/YSII
1648,28,PG,AYTB,Tabubil Airport,S5.16.75',E141.13.65',-5.266666666666667,141.21666666666667, Public,4232 x 75feet,Soft,,,,,,,No,https://www.getmetar.com/AYTB
1649,29,PG,AYTA,Tari Airport,S5.50.69',E142.56.82',-5.833333333333332,142.93333333333334, Public,5197 x 72feet,Soft,,,,,,,No,https://www.getmetar.com/AYTA
1650,30,PG,AYTK,Tokua Rabaul Airport,S4.20.46',E152.22.75',-4.333333333333333,152.36666666666667, Public,5643 x 92feet,Hard,,,,,,,Yes,https://www.getmetar.com/AYTK
1651,31,PG,AYTU,Tufi Airport,S9.4.60',E149.19.03',-9.066666666666666,149.31666666666666, Public,,,,,,,,,No,https://www.getmetar.com/AYTU
1652,32,PG,AYVN,Vanimo Airport,S2.41.62',E141.18.24',-2.6833333333333336,141.3, Public,5775 x 85feet,Hard,,,,,,,Yes,https://www.getmetar.com/AYVN
1653,33,PG,AYWD,Wapenamanda Airport,S5.38.00',E143.53.48',-5.633333333333333,143.88333333333333, Public,,,,,,,,,No,https://www.getmetar.com/AYWD
1654,34,PG,AYWK,Wewak Boram Airport,S3.35.05',E143.40.13',-3.583333333333333,143.66666666666666, Public,5234 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/AYWK
1655,0,PH,RPLY,Alabat Community Airport Airport,N14.13.98',E121.55.72',14.216666666666667,121.91666666666669, Public,,,,,,,,,No,https://www.getmetar.com/RPLY
1656,1,PH,RPMA,Allah Valley Community Airport,N6.20.02',E124.45.08',6.333333333333332,124.75, Public,4423 x 59feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPMA
1657,2,PH,RPVS,Antique Airport,N10.45.98',E121.55.94',10.75,121.91666666666669, Public,3937 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPVS
1658,3,PH,RPVB,Bacolod Principal Airport,N10.46.60',E123.1.15',10.766666666666667,123.01666666666668, Public,6569 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPVB
1659,4,PH,RPLZ,Bacon Community Airport Airport,N12.59.92',E124.1.08',12.983333333333333,124.01666666666668, Public,,,,,,,,,No,https://www.getmetar.com/RPLZ
1660,5,PH,RPUZ,Bagabag Community Airport,N16.37.15',E121.15.13',16.616666666666667,121.25, Public,3937 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPUZ
1661,6,PH,RPUB,Baguio Airport,N16.22.51',E120.37.14',16.366666666666667,120.61666666666666, Public,5512 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPUB
1662,7,PH,RPUR,Baler Community Airport Airport,N15.43.77',E121.30.22',15.716666666666667,121.5, Public,3776 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPUR
1663,8,PH,RPSB,Bantayan Community Airport,N11.9.73',E123.47.08',11.15,123.78333333333332, Public,2953 x 140feet,Hard,,,,,,,No,https://www.getmetar.com/RPSB
1664,9,PH,RPUO,Basco Principal Airport,N20.27.09',E121.58.81',20.45,121.96666666666668, Public,3820 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPUO
1665,10,PH,RPVQ,Biliran Community Airport Airport,N11.33.77',E124.24.84',11.55,124.4, Public,,,,,,,,,No,https://www.getmetar.com/RPVQ
1666,11,PH,RPMF,Bislig Community Airport,N8.11.30',E126.19.62',8.183333333333334,126.31666666666666, Public,3937 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPMF
1667,12,PH,RPSP,Bohol Panglao Airport,N9.34.44',E123.46.24',9.566666666666666,123.76666666666668, Public,,,,,,,,,No,https://www.getmetar.com/RPSP
1668,13,PH,RPVW,Borongan Community Airport,N11.40.47',E125.28.76',11.666666666666664,125.46666666666668, Public,3937 x 95feet,Hard,,,,,,,Yes,https://www.getmetar.com/RPVW
1669,14,PH,RPUU,Bulan Community Airport Airport,N12.41.08',E123.51.70',12.683333333333335,123.85, Public,,,,,,,,,No,https://www.getmetar.com/RPUU
