,Unnamed: 0.1,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,capableCOneThirtyCSeventeen,weatherLink
51,51,IN,VAGD,Gondia Airport,N21.31.41',E80.17.26',21.516666666666666,80.28333333333333, Public,7513 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VAGD
52,52,IN,VEGK,Gorakhpur Airport,N26.44.48',E83.27.15',26.73333333333333,83.45, Public,9000 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/VEGK
53,53,IN,VIGR,Gwalior Airport,N26.17.00',E78.14.00',26.28333333333333,78.23333333333333, Public,9000 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/VIGR
54,54,IN,VOHK,Hakimpet Airport,N17.33.21',E78.31.49',17.55,78.51666666666667,Private,6873 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VOHK
55,55,IN,VOBG,Hal Airport Bengaluru Airport,N12.57.13',E77.39.88',12.95,77.65, Public,10850 x 200feet,Hard,,,,,,,Yes,https://www.getmetar.com/VOBG
56,56,IN,VIHX,Halwara Airport,N30.44.91',E75.37.79',30.73333333333333,75.61666666666666,Military,8985 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VIHX
57,57,IN,VIDX,Hindon Airport,N28.42.46',E77.21.53',28.7,77.35,Private,9000 x 150feet,Unknown,,,,,,,No,https://www.getmetar.com/VIDX
58,58,IN,VIHR,Hisar Airport,N29.10.70',E75.45.28',29.16666666666667,75.75, Public,,,,,,,,,No,https://www.getmetar.com/VIHR
59,59,IN,VOHB,Hubli Airport,N15.21.71',E75.5.06',15.35,75.08333333333333, Public,5495 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/VOHB
60,60,IN,VEIM,Imphal Airport,N24.45.86',E93.53.98',24.75,93.88333333333334, Public,9010 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/VEIM
61,61,IN,VIDP,Indira Gandhi International Airport,N28.34.12',E77.6.73',28.566666666666666,77.1, Public,14534 x 197feet,Hard,12500 x 150feet,Unknown,9229 x 150feet,Unknown,,,Yes,https://www.getmetar.com/VIDP
62,62,IN,VAJB,Jabalpur Airport,N23.11.00',E80.3.63',23.18333333333333,80.05, Public,6522 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VAJB
63,63,IN,VEPT,Jai Prakash Narayan International Airport,N25.35.62',E85.5.52',25.58333333333333,85.08333333333333, Public,6411 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VEPT
64,64,IN,VIJP,Jaipur Airport,N26.49.45',E75.48.15',26.816666666666666,75.8, Public,9176 x 151feet,Hard,,,,,,,Yes,https://www.getmetar.com/VIJP
65,65,IN,VAJL,Jalgaon Airport,N20.57.68',E75.37.48',20.95,75.61666666666666, Public,5577 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VAJL
66,66,IN,VAJM,Jamnagar Airport,N22.28.00',E70.1.00',22.466666666666665,70.01666666666667, Public,8229 x 148feet,Hard,7695 x 148feet,Unknown,,,,,Yes,https://www.getmetar.com/VAJM
67,67,IN,VEJS,Jamshedpur Airport,N22.48.87',E86.10.14',22.8,86.16666666666669, Public,3921 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/VEJS
68,68,IN,VOJV,Jindal Vijayanagar Airport,N15.10.50',E76.38.10',15.166666666666664,76.63333333333334, Public,,,,,,,,,No,https://www.getmetar.com/VOJV
69,69,IN,VIJO,Jodhpur Airport,N26.15.43',E73.3.10',26.25,73.05,Military,9005 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/VIJO
70,70,IN,VEJT,Jorhat Airport,N26.43.82',E94.10.55',26.716666666666665,94.16666666666669, Public,9000 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/VEJT
71,71,IN,VAJJ,Juhu Airport,N19.5.85',E72.50.04',19.08333333333333,72.83333333333333, Public,3750 x 100feet,Hard,,,,,,,Yes,https://www.getmetar.com/VAJJ
72,72,IN,VOCP,Kadapa Airport,N14.30.78',E78.46.33',14.5,78.76666666666667, Public,,,,,,,,,No,https://www.getmetar.com/VOCP
73,73,IN,VEKR,Kailashahar Airport,N24.18.47',E92.0.57',24.3,92.0, Public,3300 x 100feet,Hard,,,,,,,No,https://www.getmetar.com/VEKR
74,74,IN,VOGB,Kalaburagi Airport,N17.18.59',E76.57.43',17.3,76.95, Public,,,,,,,,,No,https://www.getmetar.com/VOGB
75,75,IN,VEDX,Kalaikunda Airport,N22.20.37',E87.12.87',22.33333333333333,87.2,Military,9000 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/VEDX
76,76,IN,VEKM,Kamalpur Airport,N24.7.90',E91.48.85',24.11666666666667,91.8, Public,4500 x 80feet,Hard,,,,,,,Yes,https://www.getmetar.com/VEKM
77,77,IN,VAKE,Kandla Airport,N23.6.73',E70.6.03',23.1,70.1, Public,5000 x 100feet,Hard,,,,,,,Yes,https://www.getmetar.com/VAKE
78,78,IN,VIGG,Kangra Airport,N32.9.88',E76.15.73',32.15,76.25, Public,3836 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/VIGG
79,79,IN,VOKN,Kannur International Airport,N11.54.94',E75.32.74',11.9,75.53333333333333, Public,,,,,,,,,No,https://www.getmetar.com/VOKN
80,82,IN,VICX,Kanpur Airport,N26.24.20',E80.24.70',26.4,80.4, Public,9215 x 150feet,Hard,4627 x 135feet,Unknown,,,,,Yes,https://www.getmetar.com/VICX
81,83,IN,VECX,Kanpur Airport,N26.24.20',E80.24.70',26.4,80.4, Public,,,,,,,,,No,https://www.getmetar.com/VECX
82,80,IN,VIKA,Kanpur Airport,N26.26.42',E80.21.88',26.43333333333333,80.35, Public,3550 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/VIKA
83,81,IN,VEKA,Kanpur Airport,N26.26.42',E80.21.88',26.43333333333333,80.35, Public,,,,,,,,,No,https://www.getmetar.com/VEKA
84,84,IN,VOBL,Kempegowda International Airport,N13.11.93',E77.42.33',13.183333333333335,77.7, Public,13123 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VOBL
85,85,IN,VAKS,Keshod Airport,N21.18.90',E70.16.15',21.3,70.26666666666667, Public,4500 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VAKS
